玩家名,行,列,用时/秒,时间
平安名堇,14,10,'1.51,Wed Dec 08 2021 13:53:45 GMT+0800 (中国标准时间)
唐可可,14,10,'2.44,Wed Dec 08 2021 14:14:13 GMT+0800 (China Standard Time)
叶月恋,14,10,'1.44,Wed Dec 08 2021 15:36:31 GMT+0800 (中国标准时间)
叶月恋,14,10,'1.69,Wed Dec 08 2021 15:36:41 GMT+0800 (中国标准时间)
涩谷香音,14,10,'2.17,Wed Dec 08 2021 15:36:51 GMT+0800 (中国标准时间)
岚千砂都,14,10,'1.46,Wed Dec 08 2021 15:37:25 GMT+0800 (中国标准时间)
唐可可,14,10,'1.30,Wed Dec 08 2021 15:52:28 GMT+0800 (中国标准时间)
Ran.,20,14,'2.44,Wed Dec 08 2021 16:21:02 GMT+0800 (CST)
Ran.,20,14,'3.27,Wed Dec 08 2021 16:26:46 GMT+0800 (CST)
Ran.,14,10,'0.89,Wed Dec 08 2021 16:29:42 GMT+0800 (CST)
"setInterval(""finish()"",0);",14,10,'0.00,Wed Dec 08 2021 16:49:40 GMT+0800 (中国标准时间)
"setInterval(""finish()"",0);",20,14,'0.02,Wed Dec 08 2021 16:50:25 GMT+0800 (中国标准时间)
控制台里输这个White Up Pointing Backhand Index,200,200,'9990.79,Wed Dec 08 2021 16:58:00 GMT+0800 (中国标准时间)
控制台里输这个↑,200,200,'9990.81,Wed Dec 08 2021 16:59:41 GMT+0800 (中国标准时间)
涩谷香音,14,10,'1.42,Wed Dec 08 2021 17:16:50 GMT+0800 (中国标准时间)
岚千砂都,14,10,'1.74,Wed Dec 08 2021 17:17:10 GMT+0800 (中国标准时间)
N,14,10,'2.54,Wed Dec 08 2021 17:22:05 GMT+0800 (中国标准时间)
臭豆腐,14,10,'2.18,Wed Dec 08 2021 17:29:57 GMT+0800 (中国标准时间)
天才少年A酱,14,10,'2.30,Wed Dec 08 2021 17:33:59 GMT+0800 (中国标准时间)
臭豆腐,14,10,'1.60,Wed Dec 08 2021 17:38:08 GMT+0800 (中国标准时间)
岚千砂都,14,10,'1.34,Wed Dec 08 2021 17:40:43 GMT+0800 (CST)
臭豆腐,20,14,'1.63,Wed Dec 08 2021 17:40:06 GMT+0800 (中国标准时间)
平安名堇,14,10,'1.98,Wed Dec 08 2021 17:40:54 GMT+0800 (CST)
低头看看海,14,10,'2.88,Wed Dec 08 2021 17:47:39 GMT+0800 (中国标准时间)
叶月恋,14,10,'1.64,Wed Dec 08 2021 17:48:11 GMT+0800 (中国标准时间)
岚千砂都,10,10,'1.69,Wed Dec 08 2021 17:52:57 GMT+0800 (CST)
唐可可,10,10,'1.83,Wed Dec 08 2021 17:53:07 GMT+0800 (CST)
唐可可,10,10,'1.81,Wed Dec 08 2021 17:53:18 GMT+0800 (CST)
唐可可,14,14,'1.61,Wed Dec 08 2021 17:53:24 GMT+0800 (CST)
唐可可,14,14,'1.87,Wed Dec 08 2021 17:53:30 GMT+0800 (CST)
岚千砂都,20,14,'2.99,Wed Dec 08 2021 17:53:39 GMT+0800 (CST)
平安名堇,20,14,'1.87,Wed Dec 08 2021 17:53:46 GMT+0800 (CST)
涩谷香音,14,10,'1.91,Wed Dec 08 2021 17:57:18 GMT+0800 (中国标准时间)
叶月恋,20,14,'1.68,Wed Dec 08 2021 17:57:26 GMT+0800 (中国标准时间)
臭豆腐,7,5,'0.68,Wed Dec 08 2021 18:00:31 GMT+0800 (中国标准时间)
臭豆腐,20,14,'1.20,Wed Dec 08 2021 18:09:37 GMT+0800 (中国标准时间)
臭豆腐,14,10,'0.89,Wed Dec 08 2021 18:13:39 GMT+0800 (中国标准时间)
岚千砂都,14,10,'2.68,Wed Dec 08 2021 18:19:15 GMT+0800 (中国标准时间)
平安名堇,14,10,'1.13,Wed Dec 08 2021 18:19:47 GMT+0800 (CST)
涩谷香音,14,10,'1.39,Wed Dec 08 2021 18:19:58 GMT+0800 (CST)
诶嘿,14,10,'1.47,Wed Dec 08 2021 18:25:56 GMT+0800 (China Standard Time)
诶嘿,14,10,'1.08,Wed Dec 08 2021 18:26:58 GMT+0800 (China Standard Time)
涩谷香音,14,10,'1.61,Wed Dec 08 2021 18:56:32 GMT+0800 (CST)
sucker,14,10,'1.24,Wed Dec 08 2021 18:50:58 GMT+0800 (GMT+08:00)
sucker1,20,14,'1.17,Wed Dec 08 2021 18:51:35 GMT+0800 (GMT+08:00)
岚千砂都,20,14,'2.89,Wed Dec 08 2021 19:05:08 GMT+0800 (中国标准时间)
叶月恋,14,10,'2.55,Wed Dec 08 2021 19:39:50 GMT+0800 (中国标准时间)
唐可可,14,10,'1.65,Wed Dec 08 2021 19:41:38 GMT+0800 (中国标准时间)
岚千砂都,14,10,'2.92,Wed Dec 08 2021 19:47:37 GMT+0800 (中国标准时间)
唐可可,20,14,'1.92,Wed Dec 08 2021 19:48:27 GMT+0800 (中国标准时间)
叶月恋,14,10,'1.44,Wed Dec 08 2021 21:04:20 GMT+0800 (GMT+08:00)
ELMA,14,10,'2.64,Wed Dec 08 2021 21:06:36 GMT+0800 (GMT+08:00)
岚千砂都,14,10,'2.37,Wed Dec 08 2021 21:07:23 GMT+0800 (GMT+08:00)
RRR,14,10,'1.22,Wed Dec 08 2021 21:08:08 GMT+0800 (GMT+08:00)
ELMA,20,20,'3.98,Wed Dec 08 2021 21:13:32 GMT+0800 (GMT+08:00)
叶月恋,20,20,'6.63,Wed Dec 08 2021 21:15:21 GMT+0800 (GMT+08:00)
平安名堇,14,10,'2.02,Wed Dec 08 2021 21:16:12 GMT+0800 (中国标准时间)
