玩家名,行,列,用时/秒,时间,UNIX时间戳
SlenderData,20,14,'0.96,Fri Jan 28 2022 16:23:30 GMT+0800 (中国标准时间),1643358210
SlenderData,20,14,'1.23,Fri Jan 28 2022 16:24:08 GMT+0800 (中国标准时间),1643358248
SlenderData,14,10,'0.86,Fri Jan 28 2022 16:24:49 GMT+0800 (中国标准时间),1643358289
叶月恋,14,10,'2.68,Fri Jan 28 2022 16:34:44 GMT+0800 (中国标准时间),1643358884
圣泽悠奈,14,10,'1.99,Fri Jan 28 2022 16:34:57 GMT+0800 (中国标准时间),1643358897
柊摩央,14,10,'1.66,Fri Jan 28 2022 16:35:04 GMT+0800 (中国标准时间),1643358904
涩谷香音,14,10,'1.49,Fri Jan 28 2022 16:49:31 GMT+0800 (中国标准时间),1643359771
小笼包,14,10,'1.73,Fri Jan 28 2022 16:50:12 GMT+0800 (中国标准时间),1643359812
平安名堇,14,10,'1.22,Fri Jan 28 2022 16:51:08 GMT+0800 (中国标准时间),1643359868
唐可可,14,10,'1.34,Fri Jan 28 2022 16:55:26 GMT+0800 (中国标准时间),1643360126
木槐,14,10,'1.99,Fri Jan 28 2022 16:55:35 GMT+0800 (中国标准时间),1643360135
木槐,14,10,'2.54,Fri Jan 28 2022 16:56:14 GMT+0800 (中国标准时间),1643360174
叶月恋,14,10,'2.97,Fri Jan 28 2022 16:57:26 GMT+0800 (CST),1643360246
涩谷香音,14,10,'1.07,Fri Jan 28 2022 16:58:14 GMT+0800 (CST),1643360294
叶月恋,14,10,'1.35,Fri Jan 28 2022 16:58:20 GMT+0800 (CST),1643360300
涩谷香音gay,14,10,'1.38,Fri Jan 28 2022 16:58:31 GMT+0800 (CST),1643360311
涩谷香音gay,14,10,'2.93,Fri Jan 28 2022 16:58:43 GMT+0800 (CST),1643360323
叶月恋,14,10,'2.04,Fri Jan 28 2022 16:58:44 GMT+0800 (CST),1643360324
叶月恋,14,10,'2.80,Fri Jan 28 2022 16:58:55 GMT+0800 (CST),1643360335
叶月恋,14,10,'1.02,Fri Jan 28 2022 16:59:14 GMT+0800 (CST),1643360354
叶月恋,14,10,'0.91,Fri Jan 28 2022 16:59:26 GMT+0800 (CST),1643360366
sb,14,10,'1.94,Fri Jan 28 2022 17:14:13 GMT+0800 (CST),1643361253
岚千砂都,14,10,'2.43,Fri Jan 28 2022 17:19:06 GMT+0800 (中国标准时间),1643361546
唐可可,14,10,'1.70,Fri Jan 28 2022 17:35:52 GMT+0800 (中国标准时间),1643362552
唐可可,14,10,'1.68,Fri Jan 28 2022 17:36:00 GMT+0800 (中国标准时间),1643362560
烟离,14,10,'2.10,Fri Jan 28 2022 17:55:50 GMT+0800 (中国标准时间),1643363750
烟离,14,10,'2.12,Fri Jan 28 2022 17:56:24 GMT+0800 (中国标准时间),1643363784
烟离,14,10,'1.10,Fri Jan 28 2022 17:56:33 GMT+0800 (中国标准时间),1643363793
烟离,14,10,'1.56,Fri Jan 28 2022 17:56:41 GMT+0800 (中国标准时间),1643363801
烟离,14,10,'1.21,Fri Jan 28 2022 17:56:45 GMT+0800 (中国标准时间),1643363805
烟离,14,10,'2.38,Fri Jan 28 2022 17:56:52 GMT+0800 (中国标准时间),1643363812
烟离,14,10,'1.53,Fri Jan 28 2022 17:57:10 GMT+0800 (中国标准时间),1643363830
烟离,14,10,'1.43,Fri Jan 28 2022 17:57:15 GMT+0800 (中国标准时间),1643363835
烟离,14,10,'1.82,Fri Jan 28 2022 17:57:20 GMT+0800 (中国标准时间),1643363840
烟离,14,10,'1.51,Fri Jan 28 2022 17:57:24 GMT+0800 (中国标准时间),1643363844
烟离,14,10,'2.25,Fri Jan 28 2022 17:57:30 GMT+0800 (中国标准时间),1643363850
烟离,14,10,'1.47,Fri Jan 28 2022 17:57:36 GMT+0800 (中国标准时间),1643363856
烟离,14,10,'1.59,Fri Jan 28 2022 17:57:41 GMT+0800 (中国标准时间),1643363861
烟离,14,10,'1.24,Fri Jan 28 2022 17:57:45 GMT+0800 (中国标准时间),1643363865
烟离,14,10,'0.93,Fri Jan 28 2022 17:58:00 GMT+0800 (中国标准时间),1643363880
涩谷香音,20,14,'3.84,Fri Jan 28 2022 18:02:31 GMT+0800 (中国标准时间),1643364151
1023,14,10,'2.61,Fri Jan 28 2022 18:07:38 GMT+0800 (中国标准时间),1643364458
唐可可,14,10,'2.50,Fri Jan 28 2022 18:09:24 GMT+0800 (中国标准时间),1643364564
叶月恋,14,10,'1.91,Fri Jan 28 2022 18:19:20 GMT+0800 (中国标准时间),1643365160
爱丽丝,14,10,'2.63,Fri Jan 28 2022 18:21:01 GMT+0800 (CST),1643365261
爱丽丝,14,10,'1.79,Fri Jan 28 2022 18:21:38 GMT+0800 (CST),1643365298
圣泽悠奈,14,10,'2.14,Fri Jan 28 2022 18:29:26 GMT+0800 (中国标准时间),1643365766
丁綠龍,14,10,'1.91,Fri Jan 28 2022 18:29:58 GMT+0800 (中国标准时间),1643365798
唐可可,14,10,'1.44,Fri Jan 28 2022 18:37:10 GMT+0800 (中国标准时间),1643366230
樱雨茗绯,14,10,'2.93,Fri Jan 28 2022 18:37:37 GMT+0800 (中国标准时间),1643366257
柊摩央,20,14,'4.18,Fri Jan 28 2022 18:40:07 GMT+0800 (中国标准时间),1643366407
圣泽悠奈,14,10,'2.36,Fri Jan 28 2022 18:40:18 GMT+0800 (CST),1643366418
柊摩央,20,14,'3.73,Fri Jan 28 2022 18:40:44 GMT+0800 (中国标准时间),1643366444
樱雨茗绯,20,14,'3.05,Fri Jan 28 2022 18:40:45 GMT+0800 (中国标准时间),1643366445
圣泽悠奈,20,14,'1.62,Fri Jan 28 2022 18:42:34 GMT+0800 (CST),1643366554
圣泽悠奈,20,14,'0.93,Fri Jan 28 2022 18:42:45 GMT+0800 (CST),1643366565
圣泽悠奈,20,14,'1.18,Fri Jan 28 2022 18:42:52 GMT+0800 (CST),1643366572
圣泽悠奈,20,20,'1.40,Fri Jan 28 2022 18:43:19 GMT+0800 (CST),1643366599
圣泽悠奈,20,20,'0.94,Fri Jan 28 2022 18:43:32 GMT+0800 (CST),1643366612
耶Victory Hand,14,10,'1.55,Fri Jan 28 2022 18:59:21 GMT+0800 (中国标准时间),1643367561
